Species_name,Species_number,Lon,Lat,Year,CoordinateUncertaintyInMeters,Database,Source,geodeticDatum
Dermacentor variabilis,1,-91.4422,40.3624,1953,10000,Illinois Natural History Survey,"Illinois Natural History Survey: Illinois Natural History Survey, 2013-08-21. Accessed via http://www.gbif.org/dataset/68513375-3aa5-4f6f-9975-d97d56c21d61 on 2013-12-11. Rights CC-BY.",WGS84
Dermacentor variabilis,1,-91.44219971,40.36240005,1953,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Dermacentor variabilis,1,-91.249591,40.395045,1991,20000,HWML,HWML,WGS84
Dermacentor variabilis,1,-91.03890228,39.69400024,1951,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Dermacentor variabilis,1,-91.0389,39.694,1951,10000,Illinois Natural History Survey,"Illinois Natural History Survey: Illinois Natural History Survey, 2013-08-21. Accessed via http://www.gbif.org/dataset/68513375-3aa5-4f6f-9975-d97d56c21d61 on 2013-12-11. Rights CC-BY.",WGS84
Dermacentor variabilis,1,-91.00055695,40.4663887,1957,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Dermacentor variabilis,1,-90.90389252,40.74694061,1957,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Dermacentor variabilis,1,-90.90389,40.74694,1957,10000,Illinois Natural History Survey,"Illinois Natural History Survey: Illinois Natural History Survey, 2013-08-21. Accessed via http://www.gbif.org/dataset/68513375-3aa5-4f6f-9975-d97d56c21d61 on 2013-12-11. Rights CC-BY.",WGS84
Dermacentor variabilis,1,-90.84750366,39.70750046,1956,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Dermacentor variabilis,1,-90.8475,39.7075,1956,10000,Illinois Natural History Survey,"Illinois Natural History Survey: Illinois Natural History Survey, 2013-08-21. Accessed via http://www.gbif.org/dataset/68513375-3aa5-4f6f-9975-d97d56c21d61 on 2013-12-11. Rights CC-BY.",WGS84
Dermacentor variabilis,1,-90.804797,40.179114,2021,44,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.75638889,39.63305556,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.713295,40.46132,2018,5,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.71329498,40.46131897,2018,5,iNaturalist.org,iNaturalist Research-grade Observations,WGS84
Dermacentor variabilis,1,-90.692639,40.980047,2021,20000,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.675619,40.493802,2021,15,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.6583,39.1733,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.6583,39.1733,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.6583,39.1733,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.58458,41.312812,1974,20000,HWML,HWML,WGS84
Dermacentor variabilis,1,-90.53724,38.97792,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.53724,38.97792,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.53724,38.97792,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.53724,38.97792,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.53724,38.97792,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.53724,38.97792,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.53724,38.97792,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.53724,38.97792,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.514171,41.326646,2021,6029,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.512065,38.966385,2017,5,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.51206207,38.96638489,2017,5,iNaturalist.org,iNaturalist Research-grade Observations,WGS84
Dermacentor variabilis,1,-90.377633,41.571492,2021,16,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.31900024,41.68000031,1955,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Dermacentor variabilis,1,-90.319,41.68,1955,10000,Illinois Natural History Survey,"Illinois Natural History Survey: Illinois Natural History Survey, 2013-08-21. Accessed via http://www.gbif.org/dataset/68513375-3aa5-4f6f-9975-d97d56c21d61 on 2013-12-11. Rights CC-BY.",WGS84
Dermacentor variabilis,1,-90.292,41.294,1954,10000,Illinois Natural History Survey,"Illinois Natural History Survey: Illinois Natural History Survey, 2013-08-21. Accessed via http://www.gbif.org/dataset/68513375-3aa5-4f6f-9975-d97d56c21d61 on 2013-12-11. Rights CC-BY.",WGS84
Dermacentor variabilis,1,-90.29199982,41.29399872,1954,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Dermacentor variabilis,1,-90.27944183,42.25638962,1955,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Dermacentor variabilis,1,-90.27944,42.25639,1955,10000,Illinois Natural History Survey,"Illinois Natural History Survey: Illinois Natural History Survey, 2013-08-21. Accessed via http://www.gbif.org/dataset/68513375-3aa5-4f6f-9975-d97d56c21d61 on 2013-12-11. Rights CC-BY.",WGS84
Dermacentor variabilis,1,-90.220405,38.939383,2020,10,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.220044,38.939469,2020,5,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.20065308,38.91810989,2018,20000,iNaturalist.org,iNaturalist Research-grade Observations,WGS84
Dermacentor variabilis,1,-90.200653,38.91811,2018,20000,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.1969986,38.89500046,1964,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Dermacentor variabilis,1,-90.18417358,38.89056015,1958,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Dermacentor variabilis,1,-90.18417358,38.89056015,1964,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Dermacentor variabilis,1,-90.165,38.30861111,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.07405,40.530376,2021,391,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.069236,40.5252,2021,12,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.069148,40.525231,2021,20000,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.068978,40.525787,2021,203,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.066634,38.697357,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.066634,38.697357,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-90.062561,40.300071,2021,20000,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.06083,40.3,2009,10000,Illinois Natural History Survey,"Illinois Natural History Survey: Illinois Natural History Survey, 2013-08-21. Accessed via http://www.gbif.org/dataset/68513375-3aa5-4f6f-9975-d97d56c21d61 on 2013-12-11. Rights CC-BY.",WGS84
Dermacentor variabilis,1,-90.06083,40.3,2009,10000,Illinois Natural History Survey,"Illinois Natural History Survey: Illinois Natural History Survey, 2013-08-21. Accessed via http://www.gbif.org/dataset/68513375-3aa5-4f6f-9975-d97d56c21d61 on 2013-12-11. Rights CC-BY.",WGS84
Dermacentor variabilis,1,-90.05419922,42.07500076,1962,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Dermacentor variabilis,1,-90.0527,42.4463,2001,10000,Illinois Natural History Survey,"Illinois Natural History Survey: Illinois Natural History Survey, 2013-08-21. Accessed via http://www.gbif.org/dataset/68513375-3aa5-4f6f-9975-d97d56c21d61 on 2013-12-11. Rights CC-BY.",WGS84
Dermacentor variabilis,1,-90.016883,38.673145,2021,12,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.014283,38.88792,2017,20000,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-90.01428223,38.88792038,2017,20000,iNaturalist.org,iNaturalist Research-grade Observations,WGS84
Dermacentor variabilis,1,-89.994382,39.206752,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-89.994382,39.206752,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-89.994382,39.206752,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-89.994382,39.206752,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-89.994382,39.206752,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-89.994382,39.206752,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-89.994382,39.206752,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-89.994382,39.206752,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-89.994382,39.206752,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-89.994382,39.206752,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-89.994382,39.206752,2018,10,UIUCVetMed,BlitzDrags,WGS84
Dermacentor variabilis,1,-89.976586,38.818013,2018,132,iNaturalist,iNaturalist,WGS84
Dermacentor variabilis,1,-89.97658539,38.81801224,2018,132,iNaturalist.org,iNaturalist Research-grade Observations,WGS84
Dermacentor variabilis,1,-89.976,39.211,1965,10000,Illinois Natural History Survey,"Illinois Natural History Survey: Illinois Natural History Survey, 2013-08-21. Accessed via http://www.gbif.org/dataset/68513375-3aa5-4f6f-9975-d97d56c21d61 on 2013-12-11. Rights CC-BY.",WGS84
