Species_name,Species_number,Lon,Lat,Year,CoordinateUncertaintyInMeters,Database,Source,geodeticDatum
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.39852905,40.63312149,1992,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
Ixodes scapularis,1,-89.41079712,41.98400116,1990,20000,Illinois Natural History Survey,Illinois Natural History Survey Insect Collection,WGS84
